institution_code	institution	collection_code	collection	contact	platform	platform_detail	globi_id	review_id
Pensoft	Pensoft	OpenBiodiv	Automatic discovered tables via OpenBiodiv	Lyubo; Mariya	openbiodiv		globi:pensoft/pensoft-interaction-tables 	pensoft/pensoft-interaction-tables
Pensoft	Pensoft	tdb	Manually transcribed tables from Pensoft publications	Lyubo; Mariya	arpha-table		globi:globalbioticinteractions/pensoft-table	globalbioticinteractions/pensoft-table
Pensoft	Pensoft	tdb	DwC from Pensoft publications	Lyubo; Mariya	arpha-dwc		globi:globalbioticinteractions/pensoft-dwca	globalbioticinteractions/pensoft-dwca
Pensoft	Pensoft	tdb	Pensoft IPT	Lyubo; Mariya	arpha-ipt		globi:globalbioticinteractions/pensoft-ipt	globalbioticinteractions/pensoft-ipt
